#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7000
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.90000 0.0002990900 0.0054193900 0.0835796400 0.9107018800 0.0000177730 0.0000733638 0.0002737345 0.0002843251 2.0272791284 0.0218484586 0.3654143641 0.0963293057
0.91000 0.0002864700 0.0052870200 0.0822709900 0.9121555200 0.0000187554 0.0000728880 0.0002718439 0.0002759971 2.0289532316 0.0180918461 0.3711434493 0.0784943669
0.92000 0.0002835000 0.0051577300 0.0810055100 0.9135532600 0.0000172940 0.0000586856 0.0003024380 0.0003001316 2.0210706887 0.0219297423 0.3379523702 0.0871901909
0.93000 0.0002822400 0.0050381300 0.0797645800 0.9149150500 0.0000170152 0.0000710713 0.0002229395 0.0002290026 2.0229190076 0.0201596831 0.3468244893 0.0828203021
0.94000 0.0002741800 0.0049181800 0.0784803300 0.9163273100 0.0000169458 0.0000693752 0.0002643045 0.0002700197 2.0226935509 0.0229014678 0.3453336552 0.1006848974
0.95000 0.0002685900 0.0047897100 0.0772885000 0.9176532000 0.0000191217 0.0000718517 0.0002742943 0.0002784891 2.0242660091 0.0221355473 0.3535709284 0.1025185234
0.96000 0.0002604900 0.0046831100 0.0761322500 0.9189241500 0.0000154994 0.0000649848 0.0002772201 0.0002836132 2.0211455106 0.0217568426 0.3402771278 0.0950357677
0.97000 0.0002555100 0.0045581700 0.0750209900 0.9201653300 0.0000177738 0.0000714014 0.0002805086 0.0002955241 2.0172910441 0.0199855058 0.3213492808 0.0861383416
0.98000 0.0002545700 0.0044637200 0.0738624300 0.9214192800 0.0000154614 0.0000634552 0.0002631146 0.0002739936 2.0182712789 0.0208295452 0.3291300101 0.0963055829
0.99000 0.0002455200 0.0043449900 0.0728031200 0.9226063700 0.0000166869 0.0000698131 0.0002575351 0.0002845001 2.0163256927 0.0194002110 0.3211386330 0.0854320874
1.00000 0.0002420700 0.0042421700 0.0716401600 0.9238756000 0.0000149283 0.0000670272 0.0002569295 0.0002697679 2.0137868058 0.0217072116 0.3089990845 0.0960102980
